season,date,game_team_abbr,team_name,all_nba,first_team_nba,second_team_nba,third_team_nba,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2000-01,2001-01-16,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-19,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-21,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-23,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-27,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-29,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-01-31,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-03,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-06,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-07,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-13,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-14,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-17,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-19,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-20,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-23,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-25,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-26,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-02-28,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-01,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-03,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-05,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-07,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-10,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
2000-01,2001-03-11,MIL,Milwaukee Bucks,1,0,0,1,0,0,0,0
