game_id,season,date,playoff,win,points,home_team,conference,first_interconf_trip,dist_traveled,dist_3days,dist_7days,dist_30days,lon_traveled,tz_traveled,same_tz_3days,same_tz_7days,same_tz_30days,tz_total_3days,tz_total_7days,tz_total_30days,tz_east_3days,tz_east_7days,tz_east_30days,tz_west_3days,tz_west_7days,tz_west_30days,days_rest,second_backtoback,three_in_four,games_2days,games_3days,games_4days,games_7days,games_30days,road_3days,road_7days,road_30days,total_wins_ly,pyth_40games,pace_40games,ftr_40games,tpar_40games,ts_40games,trb_40games,steal_40games,block_40games,efg_40games,tov_40games,orb_40games,drb_40games,all_nba_ly,first_team_nba_ly,second_team_nba_ly,third_team_nba_ly
2015-03-23 MEM NYK,2014-15,2015-03-23,0,1,21,0,W,0,991.123602392742,1124.696754766227,157.14075634493747,6333.734689706538,10.671375,1,-1,-3,-2,1,1,3,1,0,2,0,1,1,1,-1,0,-1,0,0,-1,1,0,1,2,16,0.43559475468039066,5.787499999999994,0.039025000000000004,-0.05952500000000002,0.0373,2.8575000000000017,2.370000000000001,-0.7400000000000011,0.031649999999999956,1.0175,0.9674999999999976,2.1899999999999977,0,0,0,0
2015-03-23 WAS GSW,2014-15,2015-03-23,0,0,-31,0,E,0,145.191,733.635281666138,4641.682195942481,-1085.2152064551447,-0.684832,0,0,-2,-4,0,3,-1,0,0,-2,0,3,1,-1,1,0,1,0,0,0,-2,2,4,2,-4,-0.36228661565559217,-10.357500000000002,0.017424999999999996,-0.101525,-0.03932499999999994,3.0625,-2.9750000000000005,-2.175,-0.04317499999999996,2.0700000000000003,1.4124999999999979,4.194999999999993,-1,0,-1,0
2015-03-24 PHI SAC,2014-15,2015-03-24,0,1,1,1,W,0,-588.444281666138,-4442.624686507278,-4883.011055767821,517.3437115194647,3.250874,0,1,1,1,-3,-3,1,0,0,2,-3,-3,-1,0,0,0,0,0,0,0,0,-2,-2,1,9,0.045806976829374235,7.4424999999999955,0.066975,-0.11737499999999998,0.04222500000000001,2.7524999999999977,-2.8575,-4.4875,0.021525000000000016,-0.3825000000000003,-0.11749999999999972,2.5449999999999875,0,0,0,0
2015-03-25 CLE MEM,2014-15,2015-03-25,0,1,22,0,E,0,-642.9347856982561,-2182.620303378346,-3938.130461310172,-4570.509762693751,13.923699,1,1,1,1,-2,-2,-3,-1,-1,-3,-1,-1,0,1,0,0,0,-1,0,-1,-1,0,0,1,-20,0.11460503378521181,9.257499999999993,0.0031749999999999834,0.18357500000000002,0.035150000000000015,0.6424999999999983,-1.6075,-0.9925000000000006,0.042574999999999974,-0.46499999999999986,2.775000000000002,-2.612499999999997,2,1,1,0
2015-03-25 LAC NYK,2014-15,2015-03-25,0,0,-31,1,E,0,-3947.61138724047,-3399.0494719531216,-3283.46210254234,-2584.6964589905456,-44.273815,-3,2,3,3,-3,-3,-5,-3,-3,-4,0,0,-1,-1,0,1,0,1,1,2,2,-1,1,1,-26,-0.5324669664483253,-14.079999999999998,-0.046499999999999986,-0.08057499999999998,-0.06459999999999994,-1.552500000000002,-0.642500000000001,-0.17999999999999972,-0.07540000000000008,1.522499999999999,0.21000000000000085,0.26500000000000057,-2,-1,-1,0
2015-03-25 PHI DEN,2014-15,2015-03-25,0,0,-14,1,W,0,1067.72528726541,479.28100559927225,-710.9201969894348,-4161.493634824927,-40.134275,-3,-1,0,1,1,-1,-2,-1,0,0,2,-1,-2,2,-1,-1,-1,-1,-1,0,0,-2,0,0,17,0.08921732335764337,6.797499999999999,-0.0038249999999999673,-0.045325000000000004,0.01755000000000001,0.015000000000000568,-1.1575000000000006,-2.932500000000001,0.015050000000000008,-3.2575000000000003,-0.8900000000000006,1.3275000000000006,0,0,0,0
2015-03-27 LAC PHI,2014-15,2015-03-27,0,1,21,0,W,0,-2381.38926162726,136.81910386765958,-4305.8055826396185,-1191.0333805706086,-31.014272,-2,1,1,1,0,-3,0,0,0,0,0,-3,0,0,0,-1,0,0,-1,-1,-1,1,-1,3,44,0.39247997013046854,15.25500000000001,0.015149999999999997,-0.005699999999999983,0.059624999999999984,0.9525000000000006,-1.5599999999999987,-2.672500000000001,0.06604999999999994,-4.154999999999999,-1.9450000000000003,1.5649999999999977,2,1,1,0
2015-03-27 LAL TOR,2014-15,2015-03-27,0,0,-11,0,W,0,1117.24933560192,1902.4287384100642,2768.266698592377,2477.446580598462,13.89689,1,-1,-1,-2,1,2,5,1,2,3,0,0,2,0,0,0,0,0,0,0,-1,2,2,-1,-24,-0.1244651925661221,-6.260000000000005,-0.03215000000000001,-0.09165000000000004,-0.032299999999999995,1.8125,-0.5025000000000004,-0.055000000000000604,-0.023175,0.2400000000000002,0.027499999999999858,3.3100000000000023,0,0,0,0
2015-03-28 GSW MIL,2014-15,2015-03-28,0,1,13,0,W,0,896.750731981834,3873.0880720270943,3552.815331002281,1031.9012690225027,2.133336,0,-1,0,4,2,1,-1,2,2,-1,0,-1,0,-1,1,0,1,0,0,0,2,2,3,0,39,0.27920754875669984,10.799999999999997,-0.024325000000000013,0.09949999999999998,0.03842500000000004,-0.20750000000000313,-0.42249999999999943,-0.2575000000000003,0.043725000000000014,-2.8375000000000004,-1.1024999999999991,1.0125000000000028,1,0,1,0
2015-03-29 DAL IND,2014-15,2015-03-29,0,0,-5,0,W,0,1211.602999331272,1615.501058185695,1222.152703907026,6540.218554646531,10.52035,0,1,-1,-3,0,0,4,0,1,2,0,-1,2,-1,0,0,0,1,0,-1,-1,2,0,1,-14,-0.013473857448050519,-0.29750000000001364,-0.037775,0.039874999999999994,-0.001375000000000015,-3.5700000000000003,1.9625000000000004,-0.03000000000000025,0.009875000000000023,-0.2400000000000002,-0.8975000000000009,-5.400000000000006,-1,0,0,0
